;;;;;;When federal holidays fall on Saturday, Federal Reserve Banks and Branches will be open the preceding Friday.;;;;;;;
;;;;;;When federal holidays fall on Sunday, Federal Reserve Banks and Branches will be closed the following Monday.;;;;;;;
ID;CONTRY;STATE-NAME;STATE-CODE;MONTH;DAY;HOLIDAY-NAME;ALTERNATIVE-HOLIDAY-NAME;HOLIDAY-TYPE;CITY-NAME;CITY-CODE;OPTIONAL;BUSSINESS-RULE;COMMENTS
119;USA;Mississippi;MS;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
120;USA;Montana;MT;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
121;USA;Montana;MT;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
122;USA;North Carolina;NC;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
123;USA;North Carolina;NC;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
124;USA;North Carolina;NC;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
125;USA;North Carolina;NC;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
126;USA;North Carolina;NC;Dec;24;Christmas Eve;Christmas Eve;Government Holiday;;;;;AR, KS, KY, MI, NC, OK, SC, TX, VA, WI
127;USA;North Carolina;NC;Dec;;Day after Christmas;Day after Christmas;Government Holiday;;;;25,December,workday;North Carolina, South Carolina, Texas
128;USA;North Dakota;ND;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
129;USA;North Dakota;ND;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
130;USA;North Dakota;ND;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
131;USA;Nebraska;NE;Apr;;Arbor Day;Arbor Day;Government Holiday;;;;4,Friday,April;Nebraska. Last Friday in April
132;USA;Nebraska;NE;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
133;USA;Nebraska;NE;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
134;USA;Nebraska;NE;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
135;USA;New Hampshire;NH;Jan;;Civil Rights Day;Civil Rights Day;Government Holiday;;;;3,Monday,January;Arizona, New Hampshire. 3rd Monday in January
136;USA;New Hampshire;NH;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
137;USA;New Hampshire;NH;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
138;USA;New Hampshire;NH;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
139;USA;New Jersey;NJ;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
140;USA;New Jersey;NJ;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
141;USA;New Jersey;NJ;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
142;USA;New Mexico;NM;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
143;USA;New Mexico;NM;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
144;USA;New Mexico;NM;Oct;12;Indigenous Peoples' Day;Indigenous Peoples' Day;Regional Holiday;;;;;
145;USA;New Mexico;NM;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
146;USA;Nevada;NV;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
147;USA;Nevada;NV;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
148;USA;Nevada;NV;Oct;;Nevada Day;Nevada Day;Government Holiday;;;;4,Friday,October;Nevada only. Last Friday in October
149;USA;Nevada;NV;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
150;USA;New York;NY;Feb;12;Lincoln's Birthday;Lincoln's Birthday;Government Holiday;;;;;Connecticut, Illinois, Missouri, New York.
151;USA;New York;NY;Feb;;Washington's Birthday (Observed);Washington's Birthday (Observed);Federal Holiday;;;;3,Monday,February;3rd Monday in February
152;USA;New York;NY;Jun;19;Juneteenth;Juneteenth;Government Holiday;;;;;Emancipation Day
153;USA;New York;NY;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
154;USA;Ohio;OH;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
155;USA;Ohio;OH;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
156;USA;Oklahoma;OK;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
157;USA;Oklahoma;OK;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
158;USA;Oklahoma;OK;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
159;USA;Oklahoma;OK;Dec;24;Christmas Eve;Christmas Eve;Government Holiday;;;;;AR, KS, KY, MI, NC, OK, SC, TX, VA, WI
160;USA;Oregon;OR;Feb;24;Edward Dickinson Baker Day;Edward Dickinson Baker Day;Not A Public Holiday;;;;;Always celebrated on 24 February
161;USA;Oregon;OR;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
162;USA;Oregon;OR;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
163;USA;Oregon;OR;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
164;USA;Pennsylvania;PA;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
165;USA;Pennsylvania;PA;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
166;USA;Pennsylvania;PA;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
167;USA;Rhode Island;RI;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
168;USA;Rhode Island;RI;Jul;6;Independence Day (in lieu);Independence Day (in lieu);Regional Holiday;;;;;
169;USA;Rhode Island;RI;Aug;;Victory Day;Victory Day;Government Holiday;;;;2,Monday,August;2nd Monday in August
170;USA;South Carolina;SC;May;;Confederate Memorial Day;Confederate Memorial Day;Government Holiday;;;;10,May,nearest;10 May or nearest weekday
171;USA;South Carolina;SC;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
172;USA;South Carolina;SC;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
173;USA;South Carolina;SC;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
174;USA;South Carolina;SC;Dec;24;Christmas Eve;Christmas Eve;Government Holiday;;;;;AR, KS, KY, MI, NC, OK, SC, TX, VA, WI
175;USA;South Carolina;SC;Dec;26;Day after Christmas;Day after Christmas;Government Holiday;;;;;North Carolina, South Carolina, Texas
176;USA;South Dakota;SD;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
177;USA;South Dakota;SD;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
178;USA;South Dakota;SD;Oct;12;Native American's Day;Native American's Day;Regional Holiday;;;;;
179;USA;Tennessee;TN;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
180;USA;Tennessee;TN;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
181;USA;Tennessee;TN;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
182;USA;Tennessee;TN;Nov;;Friday after Thanksgiving;Friday after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
183;USA;Tennessee;TN;Dec;24;Christmas Eve;Christmas Eve;Regional Holiday;;;;;
184;USA;Tennessee;TN;Dec;31;New Year's Eve;New Year's Eve;Regional Holiday;;;;;
185;USA;Texas;TX;Jan;19;Confederate Heroes' Day;Confederate Heroes' Day;Government Holiday;;;;;Texas
186;USA;Texas;TX;Mar;2;Texas Independence Day;Texas Independence Day;Government Holiday;;;;;Always celebrated on 2 March
187;USA;Texas;TX;Mar;31;Cesar Chavez Day;Cesar Chavez Day;Government Holiday;;;;;State holiday in Texas
188;USA;Texas;TX;Apr;21;San Jacinto Day;San Jacinto Day;Government Holiday;;;;;Always celebrated on 21 April
189;USA;Texas;TX;Jun;19;Juneteenth;Juneteenth;Government Holiday;;;;;Emancipation Day
190;USA;Texas;TX;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
191;USA;Texas;TX;Aug;27;Lyndon Baines Johnson Day;Lyndon Baines Johnson Day;Government Holiday;;;;;Always celebrated on 27 August
192;USA;Texas;TX;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
193;USA;Texas;TX;Dec;24;Christmas Eve;Christmas Eve;Government Holiday;;;;;AR, KS, KY, MI, NC, OK, SC, TX, VA, WI
194;USA;Texas;TX;Dec;26;Day after Christmas;Day after Christmas;Government Holiday;;;;;North Carolina, South Carolina, Texas
195;USA;Utah;UT;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
196;USA;Utah;UT;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
197;USA;Utah;UT;Jul;24;Pioneer Day;Pioneer Day;Government Holiday;;;;;Utah
198;USA;Virginia;VA;Jan;;Lee-Jackson Day;Lee-Jackson Day;Government Holiday;;;;2,Friday,January;Virginia. Friday before 3rd Monday in January
199;USA;Virginia;VA;Feb;;George Washington Day;George Washington Day;Federal Holiday;;;;3,Monday,February;3rd Monday in February
200;USA;Virginia;VA;Jun;19;Juneteenth;Juneteenth;Government Holiday;;;;;Emancipation Day
201;USA;Virginia;VA;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
202;USA;Virginia;VA;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
203;USA;Virginia;VA;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
204;USA;Virginia;VA;Dec;24;Christmas Eve;Christmas Eve;Government Holiday;;;;;AR, KS, KY, MI, NC, OK, SC, TX, VA, WI
205;USA;Vermont;VT;Mar;;Town Meeting Day;Town Meeting Day;Government Holiday;;;;1,Tuesday,March;1st Tuesday in March
206;USA;Vermont;VT;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
207;USA;Vermont;VT;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
208;USA;Vermont;VT;Aug;;Bennington Battle Day;Bennington Battle Day;Government Holiday;;;;16,August,nearest;16 August or nearest weekday
209;USA;Washington;WA;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
210;USA;Washington;WA;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
211;USA;Washington;WA;Nov;;Native American Heritage Day;Native American Heritage Day;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
212;USA;Wisconsin;WI;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
213;USA;Wisconsin;WI;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
214;USA;Wisconsin;WI;Dec;24;Christmas Eve;Christmas Eve;Government Holiday;;;;;AR, KS, KY, MI, NC, OK, SC, TX, VA, WI
